"Syntaxon","EVCcode","Name","VerbalDiagnosis"
"CD03","RHA-03","Pyro spinosae-Rubetalia ulmifolii Biondi, Blasi et Casavecchia in Biondi et al. 2014","Spiny bramble scrub on nutrient-rich soils of the winter-mild Atlantic seaboards, the Mediterranean, the Macaronesian Archipelago and the Azores"
"CD03A","RHA-03A","Pruno spinosae-Rubion ulmifolii O. de Bolòs 1954","Spiny bramble scrub of the winter-mild Atlantic seaboards and the Western Mediterranean"
"CD03B","RHA-03B","Arundo plinii-Rubion ulmifolii Biondi, Blasi, Casavecchia et Gasparri in Biondi et al. 2014","Spiny bramble scrub of the Central and Eastern Mediterranean"
"CD03C","RHA-03C","Rubio periclymeni-Rubion ulmifolii Oberd. ex Rivas-Mart. et al. 1993","Spiny bramble thicket mantle of the laurisilva of Madeira and the Canary Islands"
"CD03D","RHA-03D","Scrophulario glabratae-Rubion ulmifolii Vicente Orellana et al. 2012","Spiny lianoid thicket mantle of the laurisilva forests of the Azores"
"CD04","RHA-04","Lauro nobilis-Sambucetalia nigrae Biondi, Blasi, Casavecchia, Galdenzi et Gasparri in Biondi et al. 2014","Mesic scrub in shady habitats on nutrient-rich soils of the Central Mediterranean"
"CD04A","RHA-04A","Lauro nobilis-Sambucion nigrae Biondi, Blasi, Casavecchia, Galdenzi et Gasparri in Biondi et al. 2014","Mesic scrub in shady habitats on nutrient-rich soils of the Central Mediterranean"
"CE","LON","Lonicero-Rubetea plicati Haveman, Schaminée et Stortelder in Stortelder et al. 1999","Acidophilous scrub and hedges of forest edges and clearings on dry sandy nutrient-poor minerotrophic soils of Western Europe"
"CE01","LON-01","Rubetalia plicati Weber in Pott 1995","Acidophilous scrub of forest clearings and hedges on dry sandy, nutrient-poor soils of the (sub)atlantic regions of northwestern Europe"
"CE01A","LON-01A","Lonicero-Rubion silvatici Tx. et Neumann ex Wittig 1977","Acidophilous bramble scrub, hedges and scrub of forest clearings on dry sandy nutrient-poor minerotrophic soils of northwestern Europe"
"CE01B","LON-01B","Molinio-Frangulion Passarge in Passarge et G. Hofmann 1968","Acidophilous buckthorn scrub, hedges and scrub of forest clearings on dry sandy nutrient-poor minerotrophic soils of northwestern Europe"
"CE02","LON-02","Frangulo-Prunetalia insititiae Rivas Goday 1964","Acidophilous scrub of forest clearings and hedges on dry sandy nutrient-poor soils of the (sub)atlantic regions of southwestern Europe"
"CE02A","LON-02A","Frangulo-Rubion Rivas Goday 1964","Acidophilous scrub of forest clearings and hedges on dry sandy nutrient-poor soils of the (sub)atlantic regions of southwestern Europe"
"CF","ROB","Robinietea Jurko ex Hadač et Sofron 1980","Seral forest-clearing and anthropogenic successional scrub and thickets on nutrient-rich soils of temperate Europe"
"CF01","ROB-01","Sambucetalia racemosae Oberd. ex Doing 1962","Elder, willow and hazel scrub on nutrient-rich soils in forest clearings of temperate Europe"
"CF01A","ROB-01A","Sambuco-Salicion capreae Tx. et Neumann ex Oberd. 1957","Elder, willow and hazel scrub on nutrient-rich soils in forest clearings of temperate Europe"
"CF02","ROB-02","Chelidonio-Robinietalia pseudoacaciae Jurko ex Hadač et Sofron 1980","Subspontaneous anthropogenic scrub and low-grown forest groves"
"CF02A","ROB-02A","Aegopodio podagrariae-Sambucion nigrae Chytrý 2013","Anthropogenic elder scrub in ruderal habitats of Western and Central Europe"
"CF02B","ROB-02B","Balloto nigrae-Robinion pseudoacaciae Hadač et Sofron 1980","Robinia groves with weedy understorey on loamy-sandy dry soils of Central and Eastern Europe"
"CF02C","ROB-02C","Chelidonio majoris-Robinion pseudoacaciae Hadač et Sofron ex Vítková in Chytrý 2013","Robinia groves with weedy understorey on nutrient-rich mesic soils of Central and Eastern Europe"
"CF02D","ROB-02D","Euphorbio cyparissiae-Robinion pseudoacaciae Vítková in Kolbek et al. 2003","Robinia groves and scrub in dry and warm habitats on shallow soils of Central Europe"
"CF02E","ROB-02E","Chelidonio-Acerion negundo L. Ishbirdin et A. Ishbirdin 1989","Subspontaneous groves and scrub of Acer negundo of Eastern Europe"
"CG","ARE","Salicetea arenariae Weber 1999","Dune scrub of the Atlantic coasts of Western Europe"
"CG01","ARE-01","Salicetalia arenariae Preising et Weber 1997","Dune scrub of the Atlantic coasts of Western Europe"
"CG01A","ARE-01A","Salicion arenariae Tx. ex Passarge in Scamoni 1963","Willow and sea buckthorn low scrub on dunes of the oceanic regions of Western Europe"
"CG01B","ARE-01B","Ligustro-Hippophaeion Géhu et Géhu-Franck 1983","Elder, privet and sea buckthorn tall scrub on dunes of the oceanic regions of Western Europe"
"CG01C","ARE-01C","Holoschoeno australis-Salicion arenariae Neto et al. 2004","Willow scrub on dunes of southwestern Iberian Peninsula"
"CG01D","ARE-01D","Pyracantho coccineae-Hippophaeion fluviatilis de Foucault et Julve 2001","Willow scrub on dunes of the coastal dunes along the Adriatic Sea"
"CH","ULI","Calluno-Ulicetea Br.-Bl. et Tx. ex Klika et Hadač 1944","Heath on acidic nutrient-poor soils in the lowland to montane belts of the temperate and boreal zones of Europe"
"CH01","ULI-01","Ulicetalia nani Quantin 1935","Gorse and ericoid heath of the winter-mild temperate regions of Western Europe, the Western Mediterranean and Northern Morocco"
"CH01A","ULI-01A","Ericion cinereae Böcher 1940","Bell-heather heaths of the oceanic regions of Western Europe"
"CH01B","ULI-01B","Ulicion Malcuit 1929","Gorse heath of the oceanic regions of Western Europe"
"CH01C","ULI-01C","Daboecion cantabricae (Dupont ex Rivas-Mart. 1979) Rivas-Mart. et al. in Loidi et al. 1997","Hiberno-Cantabrian and French-Biscayan humid-superhumid ericoid heath over acid ferric-humic podsols"
"CH01D","ULI-01D","Ericion umbellatae Br.-Bl. in Br.-Bl. et al. 1952","Thermo-supramediterranean subhumid low silicicolous heath of the north-central and eastern regions of the Iberian Peninsula and Provence"
"CH01E","ULI-01E","Genistion micrantho-anglicae Rivas-Mart. 1979","Iberoatlantic and orocantabro-atlantic hygrophilous silicicolous heath on clayey humus-rich soils"
"CH01F","ULI-01F","Stauracanthion boivinii (Rivas-Mart. 1979) Rivas-Mart. et al. 1999","Southern Iberian and Northern Moroccan thermo-mesomediterranean subhumid to perhumid silicicolous brezal"
"CH01G","ULI-01G","Daboecion azoricae Lüpnitz 1975","High-altitude hyperhumid heath of the Azores"
"CH02","ULI-02","Vaccinio myrtilli-Genistetalia pilosae Schubert ex Passarge 1964","Heath of cold-atlantic, subcontinental and subboreal and boreal regions of Western, Central and northeastern Europe and Scandinavia"
"CH02A","ULI-02A","Empetrion nigri Schubert ex Westhoff et Den Held 1969","Dune heath of the oceanic regions of Western Europe and Southern Scandinavia"
"CH02B","ULI-02B","Calluno-Genistion pilosae P. Duvigneaud 1945","Low-altitude heath of the atlantic and subcontinental regions of temperate Europe"
"CH02C","ULI-02C","Euphorbio-Callunion Schubert ex Passarge 1964","Low-altitude heath of the continental regions of temperate Europe"
"CH02D","ULI-02D","Genisto pilosae-Vaccinion Br.-Bl. 1926","Montane-subalpine dwarf heath on siliceous substrates of the nemoral mountain ranges of Western and Central Europe"
"CH02E","ULI-02E","Bruckenthalion spiculifoliae Horvat 1949","Supramontane and subalpine dwarf heath on siliceous substrates of the Southern Carpathians and the Dinarides"
"CH03","ULI-03","Vaccinio-Juniperetalia communis Passarge 1972","Low-altitude acidophilous juniper scrub of temperate Europe"
"CH03A","ULI-03A","Vaccinio-Juniperion communis Passarge in Passarge et G. Hofmann 1968","Low-altitude acidophilous juniper scrub of temperate Europe"
"CI","NAR","Nardetea strictae Rivas Goday et Borja Carbonell in Rivas Goday et Mayor López 1966 nom. conserv. propos.","Secondary mat-grass swards on nutrient-poor soils at low and mid-altitudes of the temperate, boreal and subarctic regions of Europe"
"CI01","NAR-01","Nardetalia strictae Preising 1950","Secondary mat-grass swards on nutrient-poor soils at low and mid-altitudes of temperate, boreal and subarctic regions of Europe"
"CI01A","NAR-01A","Equiseto-Galion borealis Tx. in Tx. et Böttcher 1969","Slightly chionophilous grasslands on volcanic soils of Iceland"
"CI01B","NAR-01B","Violion caninae Schwickerath 1944","Meso-subxerophytic oligotrophic pastures in the lowland to submontane belts of Western and Central Europe"
"CI01C","NAR-01C","Nardo-Juncion squarrosi (Oberd. 1957) Passarge 1964","Hygrophilous oligotrophic meadows on peaty soils of the subatlantic regions of Western and Central Europe"
"CI01D","NAR-01D","Nardo-Agrostion tenuis Sillinger 1933","Mat-grass dry pastures in the submontane to subalpine belts of the mountain ranges of Central Europe and the Northern Balkans"
"CI01E","NAR-01E","Campanulo-Nardion Rivas-Mart. 1964","Oligotrophic mat-grass swards in the supramediterranean belt of the submediterranean regions of the Iberian Peninsula"
"CI01F","NAR-01F","Nardo-Agrostion caninae Cortini-Pedrotti et al. 1973","Oligotrophic mat-grass and tussock pastures in the montane belt of the Northern and Central Apennines"
"CI01G","NAR-01G","Cirsio vallis-demoni-Nardion Giacomini et Gentile ex Di Pietro et Theurillat in Di Pietro et al. 2015","Calabrian supramediterranean mesic seasonal perennial pastures on siliceous substrates"
"CI01H","NAR-01H","Achilleo-Arnicion Horvat et Pawłowski in Horvat 1960","Oligotrophic pastures in the lowland to submontane belts of the Western Balkans"
"CI01I","NAR-01I","Potentillo montenegrinae-Festucion paniculatae Redžić ex Čarni et Mucina 2015","Subalpine tussock grasslands on decalcified deep calcareous soils of the Central Balkans"
"CJ","COR","Koelerio-Corynephoretea canescentis Klika in Klika et Novák 1941","Dry grasslands on sandy soils and on rocky outcrops of the temperate to boreal zones of Europe, the North Atlantic islands and Greenland"
"CJ01","COR-01","Corynephoretalia canescentis Klika 1934","Silicicolous tussock grasslands on inland sand dunes of the atlantic and subatlantic regions of Western, Central and Eastern Europe"
"CJ01A","COR-01A","Corynephorion canescentis Klika 1931","Silicicolous tussock open grasslands of the Atlantic and subatlantic regions of Western and Central Europe"
"CJ01B","COR-01B","Koelerion glaucae Volk 1931","Steppic grasslands on stabilised inland sand dunes on fluvioglacial deposits of Central Europe and the western regions of Eastern Europe"
"CJ01C","COR-01C","Sedo-Cerastion arvensis Sissingh et Tideman 1960","Meso-xerophytic closed swards on acidic to neutral sandy soils in lowlands of the (sub)atlantic regions of Europe"
"CJ01D","COR-01D","Armerion elongatae Pötsch 1962","Meso-xerophytic closed swards on slightly acidic to alkaline sandy soils in the lowlands of subcontinental Europe"
"CJ02","COR-02","Festucetalia vaginatae Soó 1957","European (sub)continental fescue sandy steppes in the forest-steppe and steppe zones of Europe"
"CJ02A","COR-02A","Festucion vaginatae de Soó 1929","Pannonian subcontinental fescue sandy steppes"
"CJ02B","COR-02B","Festucion beckeri Vicherek 1972","Pontic continental fescue sandy steppes"
"CK","SED","Sedo-Scleranthetea Br.-Bl. 1955","Pioneer vegetation on shallow soils on rocky siliceous outcrops on siliceous rocks of temperate and boreal Europe"
"CK01","SED-01","Sedo-Poetalia glaucae de Molenaar 1976","Open subthermophilous grasslands on skeletal shallow soils of Scandinavia and Greenland"
"CK01A","SED-01A","Veronico-Poion glaucae Nordhagen 1943","Open subthermophilous grasslands on sandy and skeletal shallow soils on neutral-basic substrates of Scandinavia"
"CK01B","SED-01B","Rumici acetosellae-Agrostion borealis Knapp 1964","Open subthermophilous grassy swards and low scrub on skeletal shallow soils on siliceous substrates of Greenland"
"CK02","SED-02","Sedo-Scleranthetalia Br.-Bl. 1955","Pioneer herb-rich vegetation on shallow soils on rocky outcrops in the nemoral and boreal zones of Europe"
"CK02A","SED-02A","Sedo albi-Veronicion dillenii Korneck 1974","Thermophilous therophyte- and geophyte-rich vegetation on stable siliceous rubble of Central Europe and Ukraine"
"CK02B","SED-02B","Sedo-Scleranthion Br.-Bl. et Richard 1950","Pioneer vegetation on acidic shallow soils on siliceous rocky outcrops of the valleys of the Alps"
"CK02C","SED-02C","Sedion anglici Br.-Bl. in Br.-Bl. et Tx. 1952","Pioneer vegetation on acidic shallow soils on siliceous rocky outcrops of the atlantic regions of Europe"
"CK02D","SED-02D","Sedion pyrenaici Tx. in Rivas-Mart. et al. 2011","Pioneer vegetation on acidic shallow soils on siliceous rocky outcrops of the Pyrenees and the Western Iberian Peninsula"
"CK02E","SED-02E","Hyperico perforati-Scleranthion perennis Moravec 1967","Boreo-montane silicicolous meso-xerophytic swards on shallow skeletal soils of Central and Eastern Europe, the British Isles and Fennoscandia"
"CK02F","SED-02F","Scabioso-Trifolion dalmatici Horvatić et N. Ranđelović in N. Ranđelović 1977","Open swards on shallow soils over siliceous rocky outcrops of the Southern and Central Balkans"
"CK02G","SED-02G","Poo bulbosae-Stipion graniticolae Vynokurov 2014","Open swards on shallows soils over granitic outcrops of Southern Ukraine"
"CK03","SED-03","Thero-Airetalia Rivas Goday 1964","Pioneer vegetation on acidic shallow soils of the winter-mild atlantic and subboreal regions of Western Europe, the Northern Iberian Peninsula and Madeira"
"CK03A","SED-03A","Thero-Airion Tx. ex Oberd. 1957","Pioneer vegetation on acidic shallow soils of the winter-mild atlantic and subboreal regions of Western Europe, the Northern Iberian Peninsula and Madeira"
"CK04","SED-04","Alysso-Sedetalia Moravec 1967","European temperate pioneer therophyte and stonecrop swards on calcareous shallow skeletal soils and base-rich sands"
"CK04A","SED-04A","Alysso alyssoidis-Sedion Oberd. et T. Müller in T. Müller 1961","Thermophilous stonecrop vegetation on weathered calcareous rocks of temperate Europe"
"CK04B","SED-04B","Tortello tortuosae-Sedion albi Hallberg ex Dengler et Löbel 2006","Xeric basiphilous grasslands on shallow soils of Baltic alvars"
"CK04C","SED-04C","Sedion micrantho-sediformis Rivas-Mart., P. Sánchez et Alcaraz ex P. Sánchez et Alcaraz 1993","Pioneer therophyte and stonecrop swards of calcareous outcrops of the submediterranean Iberian Peninsula"
"CK04D","SED-04D","Armerion junceae Br.-Bl. ex Br.-Bl. et al. 1952","Meso-xerophytic open swardson dolomite sands of Southern France"
"CK04E","SED-04E","Valerianion tuberosae Guinochet 1975","Open herb-rich swards of calcareous shallow rubble soils in the submediterranean French Prealps"
"CK04F","SED-04F","Aethionemion saxatilis Bergmeier et al. 2009","Thermophilous open-sward vegetation of the calcareous and metalliferous rock outcrops of the submediterranean Northern Hellas"
"CK04G","SED-04G","Sileno conicae-Cerastion semidecandri Korneck 1974","Central European annual open swards on stablised base-rich inland sand dunes"
"CK04H","SED-04H","Bassio laniflorae-Bromion tectorum Borhidi 1996 nom. conserv. propos.","Pannonian annual open swards on base-rich sandy substrates"
"CL","GER","Trifolio-Geranietea sanguinei T. Müller 1962","Thermophilous forest fringe and tall-herb vegetation in nutrient-poor sites in the submediterranean to subboreal zones of Europe and the Macaronesia"
"CL01","GER-01","Origanetalia vulgaris T. Müller 1962","Meso-subxerophytic fringe and tall-herb vegetation on nutrient-poor but base-rich soils of temperate and subboreal Europe"
"CL01A","GER-01A","Knaution dipsacifoliae Julve ex Dengler et Boch 2008","Meso-subxerophytic fringe vegetation on nutrient-poor but base-rich soils at higher altitudes of temperate Europe and subboreal Scandinavia"
