taxon,evc.taxon
Rumex obtusifolius ssp. obtusifolius,Rumex obtusifolius subsp. obtusifolius
Rumex obtusifolius ssp. sylvestris,Rumex obtusifolius subsp. silvestris
Rumex obtusifolius ssp. transiens,Rumex obtusifolius subsp. transiens
Rumex palustris,Rumex palustris
Rumex patientia ssp. patientia,Rumex patientia
Rumex pulcher,Rumex pulcher subsp. pulcher
Rumex salicifolius var. triangulivalvis,
Rumex sanguineus,Rumex sanguineus
Rumex scutatus,Rumex scutatus
Rumex thyrsiflorus,Rumex thyrsiflorus
Ruscus hypoglossum,Ruscus hypoglossum
Ruta graveolens,Ruta graveolens
Sagina apetala ssp. apetala,Sagina apetala
Sagina apetala ssp. erecta,Sagina apetala
Sagina nodosa,Sagina nodosa
Sagina procumbens,Sagina procumbens
Sagina saginoides,Sagina saginoides subsp. saginoides
Sagina subulata,Sagina subulata
Sagittaria latifolia,Sagittaria latifolia
Sagittaria sagittifolia,Sagittaria sagittifolia
Salix alba,Salix alba
Salix alpina,Salix alpina
Salix appendiculata s.str.,Salix appendiculata
Salix appendiculata/waldsteiniana,
Salix aurita,Salix aurita
Salix babylonica-Hybriden,
Salix bicolor,Salix bicolor
Salix breviserrata,Salix breviserrata
Salix caprea,Salix capreae
Salix cinerea s.str.,Salix cinerea
Salix cineria/aurita,
Salix daphnoides ssp. daphnoides,Salix daphnoides
Salix eleagnos ssp. eleagnos,Salix eleagnos subsp. eleagnos
Salix foetida,Salix foetida
Salix fragilis (s.str.),Salix fragilis
Salix fragilis agg.,
Salix glabra,Salix glabra
Salix glaucosericea,Salix glaucosericea
Salix hastata ssp. hastata,Salix hastata
Salix herbacea,Salix herbacea
Salix mielichhoferi,Salix mielichhoferi
Salix myrsinifolia ssp. myrsinifolia,Salix myrsinifolia subsp. myrsinifolia
Salix myrtilloides,Salix myrtilloides
Salix pentandra,Salix pentandra
Salix purpurea,Salix purpurea
Salix repens s.lat.,Salix repens
Salix repens ssp. repens,Salix repens
Salix repens ssp. rosmarinifolia,Salix repens
Salix reticulata,Salix reticulata
Salix retusa s.str.,Salix retusa
Salix serpyllifolia,Salix serpillifolia
Salix silesiaca,
Salix triandra s.lat.,
Salix triandra ssp. amygdalina,Salix triandra subsp. amygdalina
Salix triandra ssp. triandra,Salix triandra subsp. triandra
Salix viminalis,Salix viminalis
Salix waldsteiniana,Salix waldsteiniana
Salsola tragus,Salsola tragus subsp. tragus
Salvia austriaca,Salvia austriaca
Salvia glutinosa,Salvia glutinosa
Salvia nemorosa,Salvia nemorosa subsp. nemorosa
Salvia officinalis,Salvia officinalis subsp. officinalis
Salvia pratensis ssp. pratensis,Salvia pratensis subsp. pratensis
Salvia sclarea,Salvia sclarea
Salvia verticillata,Salvia verticillata
Sambucus ebulus,Sambucus ebulus
Sambucus nigra,Sambucus nigra
Sambucus racemosa,Sambucus racemosa
Sanguisorba minor s.lat.,
Sanguisorba minor ssp. balearica,Sanguisorba minor subsp. balearica
Sanguisorba minor ssp. minor,Sanguisorba minor subsp. minor
Sanguisorba officinalis,Sanguisorba officinalis
Sanicula europaea,Sanicula europaea
Sanionia uncinata,Sanionia uncinata
Sanvitalia procumbens,Sanvitalia procumbens
Saponaria ocymoides ssp. ocymoides,Saponaria ocymoides subsp. ocymoides
Saponaria officinalis,Saponaria officinalis
Saponaria pumila,Saponaria pumila
Satureja hortensis,Satureja hortensis
Satureja montana s.str.,Satureja montana subsp. montana
Saussurea alpina,Saussurea alpina
Saussurea discolor,Saussurea discolor
Saussurea pygmaea,Saussurea pygmaea
Saxifraga adscendens,Saxifraga adscendens
Saxifraga aizoides,Saxifraga aizoides
Saxifraga androsacea,Saxifraga androsacea
Saxifraga aphylla,Saxifraga aphylla
Saxifraga aspera,Saxifraga aspera
Saxifraga biflora,Saxifraga biflora
Saxifraga blepharophylla,Saxifraga oppositifolia subsp. blepharophylla
Saxifraga bryoides,Saxifraga bryoides
Saxifraga bulbifera,Saxifraga bulbifera
Saxifraga burseriana,Saxifraga burseriana
Saxifraga caesia,Saxifraga caesia
Saxifraga crustata,Saxifraga crustata
Saxifraga cuneifolia,Saxifraga cuneifolia
Saxifraga granulata ssp. granulata,Saxifraga granulata
Saxifraga hiraciifolia,Saxifraga hieraciifolia
Saxifraga hirculus,Saxifraga hirculus
Saxifraga hirsuta,Saxifraga hirsuta subsp. hirsuta
Saxifraga hohenwartii,Saxifraga hohenwartii
Saxifraga hostii s.lat.,
Saxifraga moschata,Saxifraga moschata
Saxifraga muscoides,Saxifraga muscoides
Saxifraga mutata,Saxifraga mutata subsp. mutata
Saxifraga oppositifolia s.lat.,
Saxifraga oppositifolia ssp. oppositifolia,Saxifraga oppositifolia subsp. oppositifolia
Saxifraga paniculata,Saxifraga paniculata subsp. paniculata
Saxifraga retusa,Saxifraga retusa subsp. retusa
Saxifraga rosacea ssp. rosacea,
Saxifraga rosacea ssp. sponhemica,Saxifraga rosacea subsp. sternbergii
Saxifraga rotundifolia ssp. rotundifolia,
Saxifraga rudolphiana,Saxifraga oppositifolia subsp. rudolphiana
Saxifraga sedoides,Saxifraga sedoides subsp. sedoides
Saxifraga squarrosa,Saxifraga squarrosa
Saxifraga stellaris s.lat.,
Saxifraga stellaris ssp. prolifera,Saxifraga stellaris subsp. stellaris
Saxifraga stellaris ssp. robusta,Saxifraga stellaris subsp. engleri
Saxifraga tridactylites,Saxifraga tridactylites
Saxifraga umbrosa,Saxifraga umbrosa
Saxifraga wahlenbergii,Saxifraga wahlenbergii
Scabiosa atropurpurea,Scabiosa atropurpurea
Scabiosa canescens,Scabiosa canescens
Scabiosa columbaria s.str.,Scabiosa columbaria subsp. columbaria
Scabiosa lucida ssp. lucida,Scabiosa lucida subsp. lucida
Scabiosa ochroleuca,Scabiosa ochroleuca
Scabiosa triandra,Scabiosa triandra
Scabiosa velenovskyana,Scabiosa velenovskyana
Scandix pecten-veneris,Scandix pecten-veneris
Scapania undulata,Scapania undulata
Scheuchzeria palustris,Scheuchzeria palustris
Schoenoplectus lacustris s.str.,Schoenoplectus lacustris
Schoenoplectus mucronatus,Schoenoplectus mucronatus
Schoenoplectus pungens,Schoenoplectus pungens
Schoenoplectus supinus,Schoenoplectus supinus
Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani
Schoenoplectus triqueter,Schoenoplectus triqueter
Schoenus ferrugineus,Schoenus ferrugineus
Schoenus nigricans,Schoenus nigricans
Scilla bifolia agg.,
Scilla bifolia s.str.,Scilla bifolia subsp. bifolia
Scilla drunensis,Scilla drunensis
Scilla luciliae,
Scilla sardensis,
Scilla siehei,
Scilla tmoli,
Scirpoides holoschoenus,Scirpoides holoschoenus
Scirpus radicans,Scirpus radicans
Scirpus sylvaticus,Scirpus sylvaticus
Sciuro-hypnum plumosum,Sciuro-hypnum plumosum
Scleranthus annuus s.str.,Scleranthus annuus subsp. annuus
Scleranthus perennis,Scleranthus perennis subsp. perennis
Scleranthus polycarpos,Scleranthus polycarpos
Sclerochloa dura,Sclerochloa dura
Scleropodium purum,Scleropodium purum
Scopolia carniolica,Scopolia carniolica
Scorpidium cossonii,Scorpidium cossonii
Scorpidium revolvens,Scorpidium revolvens
Scorpidium scorpioides,Scorpidium scorpioides
Scorzonera aristata,Scorzonera aristata
Scorzonera austriaca,Scorzonera austriaca
Scorzonera cana,Podospermum canum
Scorzonera hispanica,Scorzonera hispanica subsp. hispanica
Scorzonera humilis,Scorzonera humilis
Scorzonera laciniata,Podospermum laciniatum subsp. laciniatum
Scorzonera purpurea,Podospermum purpureum
Scorzonera rosea,Podospermum roseum
Scorzonera villosa,Scorzonera villosa
Scorzoneroides autumnalis,Scorzoneroides autumnalis subsp. autumnalis
Scorzoneroides crocea s.str.,Scorzoneroides crocea
Scorzoneroides helvetica,Scorzoneroides helvetica
Scorzoneroides montana ssp. melanotricha,Scorzoneroides montana
Scorzoneroides pseudotaraxaci,
Scrophularia canina,Scrophularia canina subsp. canina
Scrophularia juratensis,Scrophularia canina subsp. hoppii
Scrophularia nodosa,Scrophularia nodosa
Scrophularia umbrosa s.lat.,
Scrophularia umbrosa ssp. neesii,Scrophularia umbrosa subsp. neesii
Scrophularia umbrosa ssp. umbrosa,Scrophularia umbrosa subsp. umbrosa
Scrophularia vernalis,Scrophularia vernalis
Scutellaria altissima,Scutellaria altissima
Scutellaria galericulata,Scutellaria galericulata
Scutellaria hastifolia,Scutellaria hastifolia
Scutellaria minor,Scutellaria minor
Secale cereale,
Securigera varia,Securigera varia
Sedum acre,Sedum acre
Sedum album,Sedum album
Sedum alpestre,Sedum alpestre
Sedum annuum,Sedum annuum
Sedum atratum s.lat.,
Sedum atratum ssp. atratum,Sedum atratum subsp. atratum
Sedum atratum ssp. carinthiacum,Sedum atratum subsp. carinthiacum
Sedum dasyphyllum,Sedum dasyphyllum subsp. dasyphyllum
Sedum hispanicum,Sedum hispanicum
Sedum rupestre,Sedum rupestre
Sedum sarmentosum,Sedum sarmentosum
Sedum sexangulare,Sedum sexangulare
Sedum stoloniferum,
Sedum thartii,Sedum montanum subsp. orientale
Sedum villosum,Sedum villosum subsp. villosum
Selaginella helvetica,Selaginella helvetica
Selaginella selaginoides,Selaginella selaginoides
Selinum carvifolia,Selinum carvifolia
Sempervivum arachnoideum,Sempervivum arachnoideum subsp. arachnoideum
Sempervivum montanum,Sempervivum montanum subsp. montanum
Sempervivum stiriacum,Sempervivum montanum subsp. stiriacum
Sempervivum tectorum s.lat.,Sempervivum tectorum
Sempervivum wulfenii,Sempervivum wulfenii
Senecio abrotanifolius s.lat,
Senecio abrotanifolius var. abrotanifolius,Jacobaea abrotanifolia subsp. abrotanifolia
Senecio abrotanifolius var. tiroliensis,Jacobaea abrotanifolia subsp. tiroliensis
Senecio aquaticus s.str.,Jacobaea aquatica
Senecio cacaliaster,Senecio cacaliaster
Senecio carniolicus,
Senecio cordatus,Jacobaea alpina
Senecio doria,Senecio doria subsp. doria
Senecio doronicum s.str.,Senecio doronicum
Senecio erraticus,Jacobaea erratica
Senecio erucifolius,Jacobaea erucifolia subsp. erucifolia
Senecio hercynicus ssp. hercynicus,Senecio hercynicus
Senecio inaequidens,Senecio inaequidens
Senecio incanus ssp. carniolicus,Jacobaea incana subsp. carniolica
Senecio jacobaea,Jacobaea vulgaris
Senecio nemorensis s.lat.,Senecio nemorensis
Senecio nemorensis ssp. glabratus,Senecio nemorensis
Senecio nemorensis ssp. jacquinianus,Senecio nemorensis
Senecio ovatus ssp. ovatus,Senecio ovatus subsp. ovatus
Senecio paludosus,Jacobaea paludosa subsp. paludosa
Senecio rupestris,Senecio squalidus subsp. rupestris
Senecio sarracenicus,Senecio sarracenicus
Senecio subalpinus,Jacobaea subalpina
Senecio sylvaticus,Senecio sylvaticus
Senecio vernalis,Senecio vernalis
Senecio viscosus,Senecio viscosus
Senecio vulgaris,Senecio vulgaris
Serratula tinctoria s.str.,Serratula tinctoria subsp. tinctoria
Serratula tinctoria ssp. monticola,Serratula tinctoria subsp. monticola
Seseli annuum s.str.,Seseli annuum subsp. annuum
Seseli austriacum,Seseli austriacum
Seseli hippomarathrum,Seseli hippomarathrum
Seseli libanotis ssp. intermedium,Seseli libanotis
Seseli libanotis ssp. libanotis,Seseli libanotis
Seseli osseum,Seseli osseum
Sesleria caerulea s.str.,Sesleria caerulea subsp. caerulea
Sesleria ovata,Sesleria ovata
Sesleria sadlerana s.lat.,
Sesleria sadlerana ssp. sadlerana,Sesleria sadleriana subsp. sadleriana
Sesleria sadlerana ssp. tatrae,Sesleria sadleriana subsp. tatrae
Sesleria sphaerocephala,Sesleria sphaerocephala
Sesleria uliginosa,Sesleria uliginosa
Setaria faberi,Setaria faberi
Setaria italica,Setaria italica
Setaria pumila,Setaria pumila
Setaria verticillata s.str.,Setaria verticillata
Setaria verticilliformis,Setaria verticilliformis
Setaria viridis s.lat.,Setaria viridis
Setaria viridis var. major,Setaria viridis
Setaria viridis var. viridis,Setaria viridis
Setaria viridis var. weinmannii,Setaria viridis
Sherardia arvensis,Sherardia arvensis
Sibbaldia procumbens,Sibbaldia procumbens
Sicyos angulatus,Sicyos angulatus
Sideritis montana,Sideritis montana
Silaum silaus,Silaum silaus
Silene acaulis s.lat.,
Silene acaulis ssp. exscapa,Silene acaulis subsp. exscapa
Silene acaulis ssp. longiscapa,Silene acaulis subsp. acaulis
Silene baccifera,Silene baccifera
Silene conica,Silene conica
Silene conoidea,Silene conoidea
Silene dichotoma,Silene dichotoma
Silene dioica,Silene dioica var. dioica
Silene gallica,Silene gallica
Silene hayekiana,Silene hayekiana
Silene latifolia ssp. alba,Silene latifolia subsp. alba
Silene linicola,Silene linicola
Silene nemoralis,Silene nemoralis
Silene noctiflora,Silene noctiflora
Silene nutans s.lat.,
Silene nutans ssp. nutans,Silene nutans subsp. nutans
Silene otites s.lat.,
Silene otites ssp. hungarica,Silene otites subsp. hungarica
Silene otites ssp. otites,Silene otites subsp. otites
Silene rupestris,Atocion rupestre
Silene saxifraga,Silene saxifraga subsp. saxifraga
Silene tatarica,Silene tatarica
Silene veselskyi,
Silene viscosa,Silene viscosa
Silene vulgaris s.lat.,
Silene vulgaris ssp. antelopum,
Silene vulgaris ssp. glareosa,Silene vulgaris subsp. glareosa
Silene vulgaris ssp. vulgaris,Silene vulgaris subsp. vulgaris
Silybum marianum,Silybum marianum
Sinapis alba ssp. alba,Sinapis alba subsp. alba
Sinapis arvensis,Sinapis arvensis
Sisymbrium altissimum,Sisymbrium altissimum
Sisymbrium austriacum,Sisymbrium austriacum subsp. austriacum
Sisymbrium irio,Sisymbrium irio
Sisymbrium loeselii,Sisymbrium loeselii
Sisymbrium officinale,Sisymbrium officinale
Sisymbrium orientale,Sisymbrium orientale
Sisymbrium strictissimum,Sisymbrium strictissimum
Sisyrinchium montanum,Sisyrinchium montanum
Sium latifolium,Sium latifolium
Smyrnium perfoliatum,Smyrnium perfoliatum subsp. perfoliatum
Solanum dulcamara,Solanum dulcamara
Solanum lycopersicum,Solanum lycopersicum
Solanum nigrum s.lat.,Solanum nigrum
Solanum nigrum ssp. nigrum,Solanum nigrum
Solanum nigrum ssp. schultesii,Solanum nigrum
Solanum tuberosum,Solanum tuberosum
Solanum villosum ssp. alatum,Solanum villosum
Solanum villosum ssp. villosum,Solanum villosum
Soldanella alpina,Soldanella alpina subsp. alpina
Soldanella austriaca,Soldanella austriaca
Soldanella minima,Soldanella minima subsp. minima
Soldanella montana s.str.,Soldanella montana
Soldanella pusilla ssp. alpicola,Soldanella pusilla
Solidago canadensis,Solidago canadensis
Solidago gigantea ssp. serotina,Solidago gigantea
Solidago virgaurea s.lat.,
Solidago virgaurea ssp. minuta,Solidago virgaurea subsp. minuta
Solidago virgaurea ssp. virgaurea,Solidago virgaurea subsp. virgaurea
Solorina crocea,Solorina crocea
Solorina saccata,Solorina saccata
Sonchus arvensis s.lat.,
Sonchus arvensis ssp. arvensis,Sonchus arvensis subsp. arvensis
Sonchus arvensis ssp. uliginosus,Sonchus arvensis subsp. uliginosus
Sonchus asper ssp. asper,Sonchus asper subsp. asper
Sonchus oleraceus,Sonchus oleraceus
Sonchus palustris,Sonchus palustris
Sorbaria sorbifolia,Sorbaria sorbifolia
Sorbus aria agg.,
Sorbus aria s.str.,Sorbus aria
Sorbus aucuparia s.lat.,
Sorbus aucuparia ssp. aucuparia,Sorbus aucuparia subsp. aucuparia
Sorbus aucuparia ssp. glabrata,Sorbus aucuparia subsp. glabrata
Sorbus austriaca,Sorbus austriaca subsp. austriaca
Sorbus carpatica,
Sorbus chamaemespilus,Sorbus chamaemespilus
Sorbus collina,
Sorbus domestica,Sorbus domestica
Sorbus graeca,Sorbus graeca
Sorbus intermedia,Sorbus intermedia
Sorbus mougeotii,Sorbus mougeotii
Sorbus pannonica,Sorbus pannonica
Sorbus torminalis,Sorbus torminalis
Sorghum bicolor s.lat. p.p.,
Sorghum halepense,Sorghum halepense
Sparganium angustifolium,Sparganium angustifolium
Sparganium emersum,Sparganium emersum
Sparganium erectum s.lat.,
Sparganium erectum ssp. erectum,Sparganium erectum subsp. erectum
Sparganium erectum ssp. microcarpum,Sparganium erectum subsp. microcarpum
Sparganium erectum ssp. neglectum,Sparganium erectum subsp. erectum
Sparganium erectum ssp. oocarpum,Sparganium erectum subsp. oocarpum
Sparganium natans,Sparganium natans
Spergula arvensis ssp. arvensis,Spergula arvensis
Spergula arvensis ssp. sativa,Spergula arvensis
Spergula pentandra,Spergula pentandra
Spergularia marina,
Spergularia rubra,Spergularia rubra var. rubra
Sphagnum angustifolium,Sphagnum angustifolium
Sphagnum auriculatum,Sphagnum auriculatum
Sphagnum austinii,Sphagnum austinii
Sphagnum capillifolium,Sphagnum capillifolium
Sphagnum centrale,Sphagnum centrale
Sphagnum compactum,Sphagnum compactum
Sphagnum contortum,Sphagnum contortum
Sphagnum cuspidatum,Sphagnum cuspidatum
Sphagnum fallax,Sphagnum fallax
Sphagnum fimbriatum,Sphagnum fimbriatum
Sphagnum flexuosum,Sphagnum flexuosum
Sphagnum fuscum,Sphagnum fuscum
Sphagnum inundatum,Sphagnum inundatum
Sphagnum lindbergii,Sphagnum lindbergii
Sphagnum magellanicum,Sphagnum magellanicum
Sphagnum molle,Sphagnum molle
Sphagnum obtusum,Sphagnum obtusum
Sphagnum palustre,Sphagnum palustre
Sphagnum papillosum,Sphagnum papillosum
Sphagnum platyphyllum,Sphagnum platyphyllum
Sphagnum riparium,Sphagnum riparium
Sphagnum rubellum,Sphagnum rubellum
Sphagnum russowii,Sphagnum russowii
Sphagnum squarrosum,Sphagnum squarrosum
Sphagnum subnitens,Sphagnum subnitens
Sphagnum subsecundum,Sphagnum subsecundum
Sphagnum tenellum,Sphagnum tenellum
Sphagnum teres,Sphagnum teres
Sphagnum warnstorfii,Sphagnum warnstorfii
Spinacia oleracea ssp. inermis,
Spinacia oleracea ssp. oleracea,
Spiraea alba,Spiraea alba
Spiraea chamaedryfolia,Spiraea chamaedryfolia subsp. chamaedryfolia
Spiraea decumbens ssp. decumbens,Spiraea decumbens subsp. decumbens
Spiraea decumbens ssp. hacquettii,Spiraea decumbens subsp. hacquetii
Spiraea douglasii,
Spiraea japonica,Spiraea japonica
Spiraea salicifolia,Spiraea salicifolia
Spiranthes aestivalis,Spiranthes aestivalis
Spiranthes spiralis,Spiranthes spiralis
Spirodela polyrhiza,Spirodela polyrhiza
Sporobolus vaginiflorus,
Stachys alpina,Stachys alpina
Stachys annua,Stachys annua
Stachys arvensis,Stachys arvensis
Stachys byzantina,Stachys byzantina
Stachys germanica,Stachys germanica subsp. germanica
Stachys palustris,Stachys palustris
Stachys recta s.lat.,
Stachys recta ssp. labiosa,Stachys recta subsp. labiosa
Stachys recta ssp. recta,Stachys recta subsp. recta
Stachys sylvatica,Stachys sylvatica
Staphylea pinnata,Staphylea pinnata
Stegonia latifolia s.lat.,Stegonia latifolia
Stegonia latifolia var. latifolia ,Stegonia latifolia
Stegonia latifolia var. pilifera,Stegonia latifolia
Stellaria alsine,Stellaria alsine
Stellaria aquatica,Stellaria aquatica
Stellaria graminea,Stellaria graminea
Stellaria holostea,Stellaria holostea
Stellaria longifolia,Stellaria longifolia
Stellaria media agg.,
Stellaria media s.str.,Stellaria media
Stellaria montana,Stellaria montana
Stellaria neglecta ssp. neglecta,Stellaria neglecta
Stellaria nemorum s.str.,Stellaria nemorum
Stellaria pallida,
Stellaria palustris,Stellaria palustris
Stephanandra incisa,
Stipa capillata,Stipa capillata
Stipa dasyphylla,Stipa dasyphylla
Stipa eriocaulis,Stipa eriocaulis subsp. eriocaulis
Stipa pennata agg.,
Stipa pennata s.str.,Stipa pennata subsp. pennata
Stipa pulcherrima ssp. pulcherima,Stipa pulcherrima subsp. pulcherrima
Straminergon stramineum,Straminergon stramineum
Stratiotes aloides,Stratiodes aloides
Streptopus amplexifolius,Streptopus amplexifolius
Succisa pratensis,Succisa pratensis
Succisella inflexa,Succisella inflexa
Swertia perennis,Swertia perennis
Symphoricarpos albus ssp. laevigatus,Symphoricarpos albus
Symphyotrichum laeve,Symphyotrichum laeve
Symphyotrichum lanceolatum,Symphyotrichum lanceolatum
Symphyotrichum novae-angliae,Symphyotrichum novae-angliae
Symphyotrichum novi-belgii,Symphyotrichum novi-belgii
Symphytum officinale s.str.,Symphytum officinale subsp. officinale
Symphytum officinale ssp. bohemicum,Symphytum officinale subsp. officinale
Symphytum officinale ssp. officinale,Symphytum officinale subsp. officinale
Symphytum tuberosum s.lat.,Symphytum tuberosum subsp. tuberosum
Syntrichia calcicola,Syntrichia calcicola
Syringa vulgaris,Syringa vulgaris
Tagetes erecta,
Tagetes patula,
Tamus communis,Dioscorea communis
Tanacetum balsamita,Tanacetum balsamita
Tanacetum corymbosum s.lat.,
Tanacetum corymbosum ssp. clusii,Tanacetum corymbosum subsp. subcorymbosum
Tanacetum corymbosum ssp. corymbosum,Tanacetum corymbosum subsp. corymbosum
Tanacetum corymbosum ssp. subcorymbosum,Tanacetum corymbosum subsp. subcorymbosum
Tanacetum parthenium,Tanacetum parthenium
Tanacetum vulgare,Tanacetum vulgare subsp. vulgare
Taraxacum alatum,
Taraxacum arquitenens,
Taraxacum atroviride,
Taraxacum baeckiiforme,
Taraxacum bavaricum,
Taraxacum carinthiacum,
Taraxacum convergentilobatum,
Taraxacum crassum,
Taraxacum cucullatum,Taraxacum cucullatum
Taraxacum debrayi,
Taraxacum fontanosquameum,
Taraxacum hercynicum,
Taraxacum ischnolepis,
Taraxacum lacerifolium,
Taraxacum moldavicum,
Taraxacum panalpinum,
Taraxacum pulchrifolium,
Taraxacum quadrangulum,
Taraxacum scanicum,
Taraxacum sect. Alpestria,Taraxacum alpestre
Taraxacum sect. Alpina,Taraxacum alpinum
Taraxacum sect. Cucullata,Taraxacum cucullatum
Taraxacum sect. Dioszegia,
Taraxacum sect. Erythrosperma,
Taraxacum sect. Fontana,Taraxacum fontanum
Taraxacum sect. Palustria,
Taraxacum sect. Ruderalia,
Taraxacum serotinum,Taraxacum serotinum
Taraxacum tiroliense,
Taraxacum trilobifolium,
Taraxacum turfosum,
Taraxacum venustum,
Taraxacum vetteri,
Taxus baccata,Taxus baccata
Tayloria lingulata,Tayloria lingulata
Teesdalia nudicaulis,Teesdalia nudicaulis
Telekia speciosa,Telekia speciosa
Tephroseris crispa,Tephroseris crispa
Tephroseris helenitis s.lat.,
Tephroseris helenitis ssp. helenitis,Tephroseris helenitis subsp. helenitis
Tephroseris helenitis ssp. salisburgensis,Tephroseris helenitis subsp. salisburgensis
Tephroseris integrifolia s.lat.,
Tephroseris integrifolia ssp. aurantiaca,Tephroseris integrifolia subsp. aurantiaca
Tephroseris integrifolia ssp. capitata,Tephroseris integrifolia subsp. capitata
Tephroseris integrifolia ssp. integrifolia,Tephroseris integrifolia subsp. integrifolia
Tephroseris longifolia s.str.,Tephroseris longifolia subsp. longifolia
Tephroseris palustris,Tephroseris palustris
Tephroseris tenuifolia,Tephroseris longifolia subsp. gaudinii
Teucrium botrys,Teucrium botrys
Teucrium chamaedrys ssp. chamaedrys,Teucrium chamaedrys subsp. chamaedrys
Teucrium montanum,Teucrium montanum
Teucrium scordium s.str.,Teucrium scordium subsp. scordium
Teucrium scorodonia,Teucrium scorodonia
Thalictrum alpinum,Thalictrum alpinum
Thalictrum aquilegiifolium,Thalictrum aquilegiifolium
Thalictrum flavum,Thalictrum flavum subsp. flavum
Thalictrum foetidum,Thalictrum foetidum subsp. foetidum
Thalictrum lucidum,Thalictrum lucidum
Thalictrum minus s.lat.,
Thalictrum minus ssp. majus,Thalictrum minus subsp. majus
Thalictrum minus ssp. minus,Thalictrum minus subsp. minus
Thalictrum minus ssp. pratense,Thalictrum minus subsp. pratense
Thalictrum minus ssp. saxatile,Thalictrum minus subsp. saxatile
Thalictrum simplex s.lat.,
Thalictrum simplex ssp. galioides,Thalictrum simplex subsp. galioides
Thalictrum simplex ssp. simplex,Thalictrum simplex subsp. simplex
Thalictrum simplex ssp. tenuifolium,Thalictrum simplex subsp. tenuifolium
Thamnobryum alopecurum,Thamnobryum alopecurum
Thamnolia vermicularis var. vermicularis,Thamnolia vermicularis
Thelypteris limbosperma,Thelypteris limbosperma
Thelypteris palustris ssp. palustris,Thelypteris palustris
Thesium alpinum,Thesium alpinum
Thesium bavarum,Thesium bavarum
Thesium ebracteatum,
Thesium linophyllon,Thesium linophyllon
Thesium pyrenaicum s.lat.,
Thesium pyrenaicum ssp. alpestre,Thesium pyrenaicum subsp. grandiflorum
Thesium pyrenaicum ssp. pyrenaicum,Thesium pyrenaicum subsp. pyrenaicum
Thesium ramosum,
Thesium rostratum,Thesium rostratum
Thlaspi alliaceum,Thlaspi alliaceum
Thlaspi alpestre,Noccaea brachypetala
Thlaspi arvense,Thlaspi arvense
Thuidium assimile,Thuidium assimile
Thuidium tamariscinum,Thuidium tamariscinum
Thuja occidentalis,
Thuja orientalis,
Thuja plicata,
Thymelaea passerina,Thymelaea passerina
Thymus alpestris,Thymus alpestris
Thymus kosteleckyanus,Thymus kosteletzkyanus
Thymus odoratissimus,Thymus odoratissimus
Thymus praecox s.lat.,
Thymus praecox ssp. polytrichus,Thymus praecox subsp. polytrichus
Thymus praecox ssp. praecox,Thymus praecox subsp. praecox
Thymus pulcherrimus ssp. sudeticus,Thymus pulcherrimus
Thymus pulegioides s.lat.,
Thymus pulegioides ssp. carniolicus,Thymus pulegioides subsp. carniolicus
Thymus pulegioides ssp. montanus,Thymus pulegioides subsp. montanus
Thymus pulegioides ssp. pulegioides,Thymus pulegioides subsp. pulegioides
Thymus serpyllum,Thymus serpyllum subsp. serpyllum
Thymus vulgaris,Thymus vulgaris subsp. vulgaris
Tilia cordata,Tilia cordata
Tilia platyphyllos,Tilia platyphyllos subsp. platyphyllos
Tofieldia calyculata,Tofieldia calyculata
Tofieldia pusilla,Tofieldia pusilla
Tomentypnum nitens,Tomentypnum nitens
Toninia sedifolia,Toninia sedifolia
Tordylium maximum,Tordylium maximum
Torilis arvensis ssp. recta,Torilis arvensis subsp. arvensis
Torilis japonica s.str.,Torilis japonica
Torilis leptophylla,Torilis leptophylla
Tortella inclinata,Tortella inclinata
Tortella tortuosa,Tortella tortuosa
Tozzia alpina ssp. alpina,Tozzia alpina
Tragopogon dubius,Tragopogon dubius subsp. dubius
Tragopogon orientalis,Tragopogon orientalis
Tragopogon porrifolius ssp. porrifolius,Tragopogon porrifolius subsp. porrifolius
Tragopogon pratensis s.lat.,Tragopogon pratensis
Tragopogon pratensis ssp. minor,Tragopogon pratensis
Tragopogon pratensis ssp. pratensis,Tragopogon pratensis
Tragus racemosus,Tragus racemosus
Trapa natans,Trapa natans
Traunsteinera globosa,Traunsteinera globosa
Trichocolea tomentella,Trichocolea tomentella
Trichophorum alpinum,Trichophorum alpinum
Trichophorum cespitosum ssp. cespitosum,Trichophorum cespitosum
Trichostomum crispulum,Trichostomum crispulum
Trientalis europaea,Trientalis europaea
Trifolium alexandrinum,Trifolium alexandrinum
Trifolium alpestre,Trifolium alpestre
Trifolium alpinum,Trifolium alpinum
Trifolium arvense,Trifolium arvense
Trifolium aureum,Trifolium aureum
Trifolium badium,Trifolium badium
Trifolium campestre,Trifolium campestre
Trifolium dubium s.str.,Trifolium dubium
Trifolium fragiferum ssp. fragiferum,Trifolium fragiferum subsp. fragiferum
Trifolium hybridum s.lat.,
Trifolium hybridum ssp. elegans,Trifolium hybridum subsp. elegans
Trifolium hybridum ssp. hybridum,Trifolium hybridum subsp. hybridum
Trifolium incarnatum ssp. incarnatum,Trifolium incarnatum subsp. incarnatum
Trifolium medium ssp. medium,Trifolium medium subsp. medium
Trifolium montanum ssp. montanum,Trifolium montanum subsp. montanum
Trifolium ochroleucon,Trifolium ochroleucon
Trifolium pallescens,Trifolium pallescens
